Route ID,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Equipment
1,2B,410,AER,2965,KZN,2990,,CR2
2,2B,410,ASF,2966,KZN,2990,,CR2
3,2B,410,ASF,2966,MRV,2962,,CR2
4,2B,410,CEK,2968,KZN,2990,,CR2
5,2B,410,CEK,2968,OVB,4078,,CR2
6,2B,410,DME,4029,KZN,2990,,CR2
7,2B,410,DME,4029,NBC,6969,,CR2
8,2B,410,DME,4029,TGK,\N,,CR2
9,2B,410,DME,4029,UUA,6160,,CR2
10,2B,410,EGO,6156,KGD,2952,,CR2
11,2B,410,EGO,6156,KZN,2990,,CR2
12,2B,410,GYD,2922,NBC,6969,,CR2
13,2B,410,KGD,2952,EGO,6156,,CR2
14,2B,410,KZN,2990,AER,2965,,CR2
15,2B,410,KZN,2990,ASF,2966,,CR2
16,2B,410,KZN,2990,CEK,2968,,CR2
17,2B,410,KZN,2990,DME,4029,,CR2
18,2B,410,KZN,2990,EGO,6156,,CR2
19,2B,410,KZN,2990,LED,2948,,CR2
20,2B,410,KZN,2990,SVX,2975,,CR2
21,2B,410,LED,2948,KZN,2990,,CR2
22,2B,410,LED,2948,NBC,6969,,CR2
23,2B,410,LED,2948,UUA,6160,,CR2
24,2B,410,MRV,2962,ASF,2966,,CR2
25,2B,410,NBC,6969,DME,4029,,CR2
26,2B,410,NBC,6969,GYD,2922,,CR2
27,2B,410,NBC,6969,LED,2948,,CR2
28,2B,410,NBC,6969,SVX,2975,,CR2
29,2B,410,NJC,2972,SVX,2975,,CR2
30,2B,410,NJC,2972,UUA,6160,,CR2
31,2B,410,NUX,4364,SVX,2975,,CR2
32,2B,410,OVB,4078,CEK,2968,,CR2
33,2B,410,OVB,4078,SVX,2975,,CR2
34,2B,410,SVX,2975,KZN,2990,,CR2
35,2B,410,SVX,2975,NBC,6969,,CR2
36,2B,410,SVX,2975,NJC,2972,,CR2
37,2B,410,SVX,2975,NUX,4364,,CR2
38,2B,410,SVX,2975,OVB,4078,,CR2
39,2B,410,TGK,\N,DME,4029,,CR2
40,2B,410,UUA,6160,DME,4029,,CR2
41,2B,410,UUA,6160,LED,2948,,CR2
42,2B,410,UUA,6160,NJC,2972,,CR2
43,2G,1654,BTK,2936,IKT,2937,,A81
44,2G,1654,BTK,2936,OVB,4078,,A81
45,2G,1654,CEK,2968,OVB,4078,,A81
46,2G,1654,HTA,2935,IKT,2937,,AN4
47,2G,1654,IKT,2937,BTK,2936,,A81
48,2G,1654,IKT,2937,HTA,2935,,AN4
49,2G,1654,IKT,2937,KCK,\N,,AN4
50,2G,1654,IKT,2937,ODO,8944,,AN4
51,2G,1654,IKT,2937,OVB,4078,,A81
52,2G,1654,IKT,2937,UKX,6924,,AN4
53,2G,1654,IKT,2937,ULK,9026,,AN4
54,2G,1654,IKT,2937,YKS,2923,,A81
55,2G,1654,KCK,\N,IKT,2937,,AN4
56,2G,1654,MJZ,2925,OVB,4078,,A81
57,2G,1654,ODO,8944,IKT,2937,,AN4
58,2G,1654,OVB,4078,BTK,2936,,A81
59,2G,1654,OVB,4078,CEK,2968,,A81
60,2G,1654,OVB,4078,IKT,2937,,A81
61,2G,1654,UKX,6924,IKT,2937,,AN4
62,2G,1654,ULK,9026,IKT,2937,,AN4
63,2G,1654,YKS,2923,IKT,2937,,A81
64,2I,8359,AYP,2786,LIM,2789,,142
65,2I,8359,CUZ,2812,LIM,2789,,142 141
66,2I,8359,CUZ,2812,PEM,2808,,142
67,2I,8359,HUU,6067,LIM,2789,,141
68,2I,8359,IQT,2801,PCL,2781,,143
69,2I,8359,IQT,2801,TPP,2806,,142
70,2I,8359,LIM,2789,AYP,2786,,142
71,2I,8359,LIM,2789,CUZ,2812,,142 141
72,2I,8359,LIM,2789,HUU,6067,,141
73,2I,8359,LIM,2789,PCL,2781,,143 146
74,2I,8359,LIM,2789,TPP,2806,,142 146
75,2I,8359,PCL,2781,IQT,2801,,143
76,2I,8359,PCL,2781,LIM,2789,,143 146
77,2I,8359,PCL,2781,TPP,2806,,146
78,2I,8359,PEM,2808,CUZ,2812,,142
79,2I,8359,TPP,2806,IQT,2801,,142
80,2I,8359,TPP,2806,LIM,2789,,142 146
81,2I,8359,TPP,2806,PCL,2781,,146
82,2J,470,ABJ,253,BOY,247,,CRJ
83,2J,470,ABJ,253,OUA,246,,E70 CRJ M87
84,2J,470,ACC,248,OUA,246,,CRJ
85,2J,470,BKO,1044,ABJ,253,,M87
86,2J,470,BKO,1044,DKR,1084,,M87
87,2J,470,BKO,1044,OUA,246,,CRJ
88,2J,470,BOY,247,ABJ,253,,CRJ
89,2J,470,BOY,247,OUA,246,,CRJ
90,2J,470,COO,245,LFW,298,,M87
91,2J,470,COO,245,OUA,246,,M87
92,2J,470,DKR,1084,BKO,1044,,M87
93,2J,470,DKR,1084,OUA,246,,M87
94,2J,470,LFW,298,OUA,246,,M87 CRJ
95,2J,470,NIM,280,OUA,246,,CRJ
96,2J,470,OUA,246,ABJ,253,,E70 CRJ M87
97,2J,470,OUA,246,ACC,248,,CRJ
98,2J,470,OUA,246,BKO,1044,,M87 CRJ
99,2J,470,OUA,246,BOY,247,,CRJ
100,2J,470,OUA,246,COO,245,,M87
101,2J,470,OUA,246,DKR,1084,,M87
102,2J,470,OUA,246,LFW,298,,CRJ
103,2J,470,OUA,246,NIM,280,,CRJ
104,2K,1338,BOG,2709,GYE,2673,,319
105,2K,1338,BOG,2709,UIO,2688,,319 320
106,2K,1338,CLO,2715,GYE,2673,,319
107,2K,1338,GYE,2673,BOG,2709,,319
108,2K,1338,GYE,2673,CLO,2715,,319
109,2K,1338,GYE,2673,SCY,6045,,319 320
110,2K,1338,GYE,2673,UIO,2688,,320 319
111,2K,1338,OCC,2670,UIO,2688,,319
112,2K,1338,SCY,6045,GYE,2673,,319 320
113,2K,1338,UIO,2688,BOG,2709,,319 320
114,2K,1338,UIO,2688,GYE,2673,,319
115,2K,1338,UIO,2688,OCC,2670,,319
116,2L,2750,BDS,1506,ZRH,1678,,100
117,2L,2750,BOD,1264,ZRH,1678,,100
118,2L,2750,BRS,490,ZRH,1678,,100
119,2L,2750,GVA,1665,LPA,1054,,319
120,2L,2750,LCA,1197,ZRH,1678,,319
121,2L,2750,LPA,1054,ZRH,1678,,319
122,2L,2750,RMF,4197,ZRH,1678,,319
123,2L,2750,TFS,1056,GVA,1665,,319
124,2L,2750,ZRH,1678,BDS,1506,,100
125,2L,2750,ZRH,1678,BOD,1264,,100
126,2L,2750,ZRH,1678,BRS,490,,100
127,2L,2750,ZRH,1678,LCA,1197,,319
128,2L,2750,ZRH,1678,LPA,1054,,319
129,2L,2750,ZRH,1678,RMF,4197,,319
130,2N,3652,AJR,730,LYC,719,,ATP
131,2N,3652,ARN,737,GEV,715,,ATP
132,2N,3652,ARN,737,HAD,709,,SF3
133,2N,3652,ARN,737,JKG,688,,ATP SF3
134,2N,3652,ARN,737,KRF,718,,ATP
135,2N,3652,ARN,737,KSD,5595,,SF3
136,2N,3652,ARN,737,LYC,719,,ATP
137,2N,3652,ARN,737,MHQ,442,,SF3
